k,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
11,Ezequiel Tovar,22,COL,NL,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,0.269,0.295,0.469,0.763,103,0.325,99,307,16,4,5,7,1,SS
12,Bryan Reynolds#,29,PIT,NL,3.6,156,692,622,73,171,29,3,24,88,10,2,57,156,0.275,0.344,0.447,0.791,119,0.355,125,278,7,10,0,3,3,OF
13,Kyle Schwarber*,31,PHI,NL,3.5,150,692,573,110,142,22,0,38,104,5,3,106,197,0.248,0.366,0.485,0.851,137,0.367,137,278,6,5,0,8,4,DH
14,Francisco Lindor#,30,NYM,NL,6.9,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.5,0.844,138,0.373,141,309,7,12,0,3,0,SS
15,Anthony Volpe,23,NYY,AL,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1,SS
16,Willy Adames,28,MIL,NL,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,0.251,0.331,0.462,0.794,118,0.348,117,282,12,1,0,3,3,SS
17,Marcell Ozuna,33,ATL,NL,4.3,162,688,606,96,183,31,0,39,104,1,0,74,170,0.302,0.378,0.546,0.925,154,0.394,154,331,23,3,0,4,2,DH
18,Matt Olson*,30,ATL,NL,3.8,162,685,600,78,148,37,1,29,98,0,0,71,170,0.247,0.333,0.457,0.79,118,0.342,117,274,15,9,0,5,5,1B
19,Corbin Carroll*,23,ARI,NL,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,0.231,0.322,0.428,0.749,107,0.333,106,252,3,10,3,9,0,OF
20,Jose Altuve,34,HOU,AL,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,0.295,0.35,0.439,0.79,126,0.348,126,276,15,7,0,0,2,2B
21,José Ramírez#,31,CLE,AL,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,0.279,0.335,0.537,0.872,143,0.376,140,333,9,1,0,6,12,3B
22,William Contreras,26,MIL,NL,4.9,155,679,595,99,167,37,2,23,92,9,2,78,139,0.281,0.365,0.466,0.831,129,0.361,129,277,19,3,0,3,5,C
23,Luis Arráez*,27,2TM,NL,1,150,672,637,83,200,32,3,4,46,9,3,24,29,0.314,0.346,0.392,0.739,106,0.327,104,250,18,8,2,1,3,UTIL
24,Jurickson Profar#,31,SDP,NL,3.6,158,668,564,94,158,29,0,24,85,10,3,76,101,0.28,0.38,0.459,0.839,134,0.369,137,259,14,18,5,5,4,OF
25,Anthony Santander#,29,BAL,AL,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,0.235,0.308,0.506,0.814,134,0.346,131,301,9,7,0,5,3,OF
26,Gleyber Torres,27,NYY,AL,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.33,0.378,0.709,101,0.318,103,222,6,3,2,8,0,2B
27,Brandon Nimmo*,31,NYM,NL,2.2,151,663,571,88,128,25,3,23,90,15,0,77,158,0.224,0.327,0.399,0.727,107,0.331,111,228,7,12,0,3,1,OF
28,Taylor Ward,30,LAA,AL,2.3,156,663,585,73,144,26,2,25,75,6,4,63,163,0.246,0.323,0.426,0.748,111,0.329,111,249,11,7,0,8,0,OF
29,Nick Castellanos,32,PHI,NL,0.8,162,659,606,80,154,30,4,23,86,6,2,41,139,0.254,0.311,0.431,0.742,106,0.327,108,261,14,10,0,2,2,OF
30,Ian Happ#,29,CHC,NL,3.9,153,657,569,89,138,34,2,25,86,13,2,80,168,0.243,0.341,0.441,0.782,120,0.345,121,251,7,6,0,2,1,OF
31,Jake Cronenworth*,30,SDP,NL,1.9,155,656,577,72,139,29,3,17,83,5,2,61,118,0.241,0.324,0.39,0.714,99,0.319,101,225,19,11,1,3,0,1B
32,Spencer Steer,26,CIN,NL,1.5,158,656,574,74,129,34,4,20,92,25,3,72,137,0.225,0.319,0.402,0.721,96,0.331,99,231,5,8,0,2,1,UTIL
33,Paul Goldschmidt,36,STL,NL,1.3,154,654,599,70,147,33,1,22,65,11,0,47,173,0.245,0.302,0.414,0.716,98,0.326,104,248,20,2,0,2,2,1B
34,Brendan Donovan*,27,STL,NL,2.6,153,652,587,65,163,34,3,14,73,5,5,47,81,0.278,0.342,0.417,0.759,112,0.332,112,245,4,13,0,5,0,UTIL
35,Teoscar Hernández,31,LAD,NL,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,0.272,0.339,0.501,0.84,137,0.368,141,295,7,8,0,1,3,OF
36,Salvador Perez,34,KCR,AL,2.5,158,652,590,58,160,28,0,27,104,0,0,44,129,0.271,0.33,0.456,0.786,119,0.339,116,269,17,11,0,6,9,C
37,Jeremy Peña,26,HOU,AL,4.1,157,650,602,78,160,28,2,15,70,20,6,25,111,0.266,0.308,0.394,0.701,100,0.311,99,237,15,14,3,6,1,SS
38,Randy Arozarena,29,2TM,AL,1.7,154,648,549,77,120,33,0,20,60,20,10,73,169,0.219,0.332,0.388,0.72,109,0.323,113,213,7,22,0,4,0,OF
39,Matt Chapman,31,SFG,NL,7.1,154,647,575,98,142,39,2,27,78,15,2,64,158,0.247,0.328,0.463,0.79,125,0.351,129,266,13,6,0,2,3,3B
40,Ryan McMahon*,29,COL,NL,2.5,153,645,567,68,137,28,0,20,65,4,6,69,185,0.242,0.325,0.397,0.722,95,0.311,90,225,9,3,0,4,4,3B
41,Manny Machado,31,SDP,NL,3.1,152,643,593,77,163,30,0,29,105,11,2,45,124,0.275,0.325,0.472,0.797,120,0.344,118,280,25,1,0,4,6,3B
42,JJ Bleday*,26,OAK,AL,2.1,159,642,572,74,139,43,4,20,60,2,3,67,125,0.243,0.324,0.437,0.762,120,0.333,121,250,8,2,1,0,2,OF
43,Nico Hoerner,27,CHC,NL,3.7,151,641,582,86,159,35,1,7,48,31,6,44,66,0.273,0.335,0.373,0.708,101,0.327,105,217,8,12,0,3,1,SS
44,Isaac Paredes,25,2TM,2LG,2.7,153,641,542,64,129,25,1,19,80,1,1,76,105,0.238,0.346,0.393,0.739,112,0.331,115,213,17,17,0,6,2,3B
45,Eugenio Suárez,32,ARI,NL,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,0.256,0.319,0.469,0.788,116,0.34,115,268,10,9,0,11,0,3B
46,Freddie Freeman*,34,LAD,NL,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,0.282,0.378,0.476,0.854,143,0.37,142,258,13,10,0,8,9,1B
47,Adley Rutschman#,26,BAL,AL,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,107,0.313,107,223,9,2,0,7,3,C
48,Adolis García,31,TEX,AL,0.3,154,637,580,68,130,27,0,25,85,11,5,45,177,0.224,0.284,0.4,0.684,94,0.302,94,232,12,6,0,6,2,OF
49,Jonathan India,27,CIN,NL,1.7,151,637,533,84,132,28,2,15,58,13,2,80,125,0.248,0.357,0.392,0.75,105,0.34,108,209,16,15,2,7,0,2B
50,Masyn Winn,22,STL,NL,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,0.267,0.314,0.416,0.73,102,0.317,100,244,1,1,3,5,1,SS
51,Yordan Alvarez*,27,HOU,AL,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,0.308,0.392,0.567,0.959,172,0.406,169,313,14,10,0,4,16,DH
52,Nolan Arenado,33,STL,NL,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,0.272,0.325,0.394,0.719,101,0.315,99,228,15,5,0,7,2,3B
53,Willi Castro#,27,MIN,AL,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,102,0.326,108,215,8,21,1,4,0,UTIL
54,Alex Bregman,30,HOU,AL,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,118,0.334,117,263,13,5,0,4,1,3B
55,Andrés Giménez*,25,CLE,AL,4,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,82,0.294,81,198,11,15,3,6,1,2B
56,Josh Naylor*,27,CLE,AL,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,0.243,0.32,0.456,0.776,118,0.336,117,257,17,7,0,4,7,1B
57,Bryce Harper*,31,PHI,NL,4.8,145,631,550,85,157,42,0,30,87,7,4,76,138,0.285,0.373,0.525,0.898,149,0.381,148,289,18,2,1,2,11,1B
58,Cal Raleigh#,27,SEA,AL,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,0.22,0.312,0.436,0.748,119,0.324,117,238,7,6,0,6,4,C
59,Maikel Garcia,24,KCR,AL,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,72,0.287,69,191,7,0,4,5,0,3B
60,Bryan De La Cruz,27,2TM,NL,-1.5,149,622,584,61,136,25,0,21,68,5,2,29,170,0.233,0.271,0.384,0.654,77,0.29,75,224,10,3,0,5,1,OF
61,Yandy Díaz,32,TBR,AL,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,0.281,0.341,0.414,0.755,116,0.336,119,233,12,4,0,4,0,1B
62,Alex Verdugo*,28,NYY,AL,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83,0.288,81,199,14,1,2,10,0,OF
63,Jazz Chisholm Jr.*,26,2TM,2LG,2.7,147,621,562,74,144,21,4,24,73,40,10,53,152,0.256,0.324,0.436,0.76,107,0.339,106,245,6,4,0,2,5,OF
64,Yainer Diaz,25,HOU,AL,3.2,148,619,585,70,175,29,3,16,84,2,0,24,107,0.299,0.325,0.441,0.766,118,0.339,120,258,22,2,0,8,1,C
65,Brice Turang*,24,MIL,NL,4.7,155,619,559,72,142,24,4,7,57,50,6,50,105,0.254,0.316,0.349,0.665,85,0.313,85,195,8,2,5,3,1,2B
66,Andrew Vaughn,26,CHW,AL,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,0.246,0.297,0.402,0.699,99,0.305,96,229,13,6,0,5,0,1B
67,Brent Rooker,29,OAK,AL,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,0.293,0.365,0.562,0.927,165,0.399,166,307,5,5,0,4,4,DH
68,George Springer,34,TOR,AL,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,92,0.312,97,202,16,6,0,2,0,OF
69,Julio Rodríguez,23,SEA,AL,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,116,0.334,121,232,10,6,0,2,1,OF
70,Christopher Morel,25,2TM,2LG,-0.6,152,611,535,56,105,11,3,21,60,8,7,61,159,0.196,0.288,0.346,0.634,80,0.282,80,185,15,10,0,5,3,3B
71,Nolan Schanuel*,22,LAA,AL,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,0.25,0.343,0.362,0.706,101,0.321,103,188,14,9,3,7,0,1B
72,Alec Bohm,27,PHI,NL,3,143,606,554,62,155,44,2,15,97,5,2,40,86,0.28,0.332,0.448,0.779,117,0.34,117,248,18,6,0,6,2,3B
73,Brenton Doyle,26,COL,NL,4,149,603,542,82,141,24,4,23,72,30,5,46,153,0.26,0.317,0.446,0.764,104,0.338,102,242,13,3,4,8,1,OF
74,Josh Bell#,31,2TM,NL,-0.6,145,603,538,62,134,23,2,19,71,0,1,51,120,0.249,0.319,0.405,0.725,97,0.32,98,218,22,6,0,3,1,1B
75,CJ Abrams*,23,WSN,NL,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,0.246,0.314,0.433,0.747,110,0.324,108,234,4,16,1,4,3,SS
76,Orlando Arcia,29,ATL,NL,0.5,157,602,551,50,120,24,0,17,46,2,0,41,128,0.218,0.271,0.354,0.625,73,0.278,70,195,16,2,1,7,1,SS
77,Zach Neto,23,LAA,AL,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,0.249,0.318,0.443,0.761,113,0.334,112,240,14,16,4,1,1,SS
78,Rafael Devers*,27,BOS,AL,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139,0.368,134,271,13,3,0,6,14,3B
79,Oneil Cruz*,25,PIT,NL,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,0.259,0.324,0.449,0.773,113,0.34,110,243,8,3,0,4,5,SS
80,Alec Burleson*,25,STL,NL,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,0.269,0.314,0.42,0.735,104,0.325,105,230,8,4,1,6,0,UTIL
81,Carlos Santana#,38,MIN,AL,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,0.238,0.328,0.42,0.749,109,0.329,108,219,11,6,0,2,3,1B
82,Jackson Merrill*,21,SDP,NL,4.4,156,593,554,77,162,31,6,24,90,16,3,29,101,0.292,0.326,0.5,0.826,127,0.357,126,277,2,1,4,5,1,OF
83,Dansby Swanson,30,CHC,NL,4,149,593,534,82,129,27,2,16,66,19,3,54,144,0.242,0.312,0.39,0.701,98,0.313,96,208,7,2,0,3,2,SS
84,Josh Smith*,26,TEX,AL,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,110,0.329,112,206,6,18,2,3,1,UTIL
85,Seiya Suzuki,29,CHC,NL,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,0.283,0.366,0.482,0.848,138,0.364,136,247,6,6,0,4,3,OF
86,Riley Greene*,23,DET,AL,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,0.262,0.348,0.479,0.827,133,0.358,133,245,2,5,0,2,3,OF
87,Ketel Marte#,30,ARI,NL,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,155,0.396,155,282,9,5,0,9,7,2B
88,Jake Burger,28,MIA,NL,0.5,137,579,535,68,134,23,1,29,76,1,1,31,150,0.25,0.301,0.46,0.76,103,0.327,100,246,11,9,0,4,2,1B
89,Jorge Soler,32,2TM,NL,1.1,142,574,493,84,119,34,1,21,64,1,0,68,141,0.241,0.338,0.442,0.78,121,0.343,123,218,9,6,0,4,0,DH
90,Jackson Chourio,20,MIL,NL,3.8,148,573,528,80,145,29,4,21,79,22,7,39,121,0.275,0.327,0.464,0.791,117,0.344,115,245,7,3,1,2,4,OF
91,Ceddanne Rafaela,23,BOS,AL,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82,0.299,85,212,8,7,2,3,1,UTIL
92,Bryson Stott*,26,PHI,NL,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,0.245,0.315,0.356,0.671,89,0.309,87,180,9,3,0,9,1,SS
93,Cody Bellinger*,28,CHC,NL,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,111,0.326,108,220,10,3,0,5,7,OF
94,Michael Busch*,26,CHC,NL,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,0.248,0.335,0.44,0.775,118,0.338,118,218,9,4,0,4,1,UTIL
95,Matt Vierling,27,DET,AL,3,144,567,518,80,133,28,5,16,57,6,1,41,121,0.257,0.312,0.423,0.735,107,0.323,106,219,9,3,0,5,1,UTIL
96,Nathaniel Lowe*,28,TEX,AL,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,0.265,0.361,0.401,0.762,120,0.342,122,195,9,4,0,4,1,1B
97,Colton Cowser*,24,BAL,AL,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,0.242,0.321,0.447,0.768,123,0.329,119,223,9,7,0,3,2,OF
98,Wyatt Langford,22,TEX,AL,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,111,0.329,110,207,6,4,0,3,3,OF
99,Colt Keith*,22,DET,AL,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96,0.308,95,196,4,2,0,2,2,2B
100,Vinnie Pasquantino*,26,KCR,AL,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,111,0.328,108,221,12,4,1,13,1,1B
101,Lourdes Gurriel Jr.,30,ARI,NL,2,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109,0.329,106,223,16,6,0,5,1,OF
102,Christian Walker,33,ARI,NL,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121,0.34,116,224,12,10,0,8,4,1B
103,Zack Gelof,24,OAK,AL,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82,0.286,80,180,7,4,3,5,0,2B
104,Will Smith,29,LAD,NL,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,0.248,0.327,0.433,0.76,116,0.327,112,206,8,9,0,8,6,C
105,Steven Kwan*,26,CLE,AL,4,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126,0.352,128,204,5,5,2,0,0,OF
106,Brendan Rodgers,27,COL,NL,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,0.267,0.314,0.407,0.721,94,0.317,92,204,12,4,1,2,1,2B
107,Trea Turner,31,PHI,NL,3,121,539,505,88,149,25,0,21,62,19,4,27,98,0.295,0.338,0.469,0.807,124,0.358,127,237,10,6,0,1,0,SS
108,Justin Turner,39,2TM,AL,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114,0.328,116,176,16,13,0,7,2,DH
109,Jesús Sánchez*,26,MIA,NL,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,0.252,0.313,0.417,0.731,97,0.326,96,204,12,4,1,2,2,OF
110,Ty France,29,2TM,2LG,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,0.234,0.305,0.365,0.67,92,0.301,95,175,16,13,0,5,0,1B
111,Shea Langeliers,26,OAK,AL,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111,0.321,111,217,15,5,0,6,2,C
112,Corey Seager*,30,TEX,AL,5,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,145,0.363,139,243,8,3,0,2,11,SS
113,Leody Taveras#,25,TEX,AL,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84,0.293,84,169,8,0,3,4,0,OF
114,Luis García Jr.*,24,WSN,NL,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,0.282,0.318,0.444,0.762,115,0.336,114,222,12,0,0,1,2,2B
115,Lane Thomas,28,2TM,2LG,0.3,130,528,472,65,112,26,3,15,63,32,14,44,137,0.237,0.309,0.4,0.709,101,0.315,101,189,5,7,0,5,1,OF
116,Sal Frelick*,24,MIL,NL,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,0.259,0.32,0.335,0.655,83,0.303,84,159,8,4,2,1,0,OF
117,Andrew Benintendi*,29,CHW,AL,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,95,0.299,92,189,12,1,0,3,1,OF
118,Logan O'Hoppe,24,LAA,AL,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,0.244,0.303,0.409,0.712,100,0.315,102,196,7,8,1,1,0,C
119,Jacob Young,24,WSN,NL,2.8,150,521,468,75,120,24,1,3,36,33,10,30,102,0.256,0.316,0.331,0.648,86,0.299,87,155,11,12,9,2,0,OF
120,Heliot Ramos,24,SFG,NL,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,0.269,0.322,0.469,0.792,125,0.349,129,223,12,2,0,4,2,OF
121,Rhys Hoskins,31,MIL,NL,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,0.214,0.303,0.419,0.722,98,0.314,95,188,11,7,0,6,1,1B
122,Mookie Betts,31,LAD,NL,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,145,0.377,145,221,10,1,0,4,2,UTIL
123,Andrew McCutchen,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,105,0.332,110,184,9,7,0,2,1,DH
124,Tyler Stephenson,27,CIN,NL,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,0.258,0.338,0.444,0.782,112,0.345,114,203,9,8,0,2,2,C
125,Jake Meyers,28,HOU,AL,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,0.219,0.286,0.36,0.646,85,0.288,83,166,17,10,3,4,0,OF
126,Daulton Varsho*,27,TOR,AL,5,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,98,0.306,94,187,2,4,1,1,1,OF
127,Joey Ortiz,25,MIL,NL,2.7,142,511,440,58,105,25,6,11,60,11,6,56,103,0.239,0.329,0.398,0.726,101,0.317,98,175,10,6,3,6,0,SS
128,Jesse Winker*,30,2TM,NL,2,145,508,430,63,109,23,0,14,58,14,4,63,106,0.253,0.36,0.405,0.764,118,0.344,122,174,12,10,2,3,2,OF
129,Ryan Mountcastle,27,BAL,AL,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,113,0.323,114,201,13,1,0,6,0,1B
130,Gavin Sheets*,28,CHW,AL,-1,139,501,451,35,105,24,1,10,45,2,2,43,106,0.233,0.303,0.357,0.66,90,0.292,88,161,6,4,0,3,2,OF
131,Charlie Blackmon*,37,COL,NL,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,0.256,0.329,0.412,0.741,100,0.329,100,185,4,6,0,1,2,DH
132,Cedric Mullins*,29,BAL,AL,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,0.234,0.305,0.405,0.71,107,0.322,107,180,1,5,2,2,0,OF
133,Isiah Kiner-Falefa,29,2TM,2LG,3.6,133,496,465,53,125,18,4,8,43,11,2,16,78,0.269,0.306,0.376,0.683,92,0.308,93,175,12,10,3,2,0,UTIL
134,J.D. Martinez,36,NYM,NL,0.5,120,495,434,46,102,24,1,16,69,0,0,49,141,0.235,0.32,0.406,0.725,106,0.321,108,176,17,6,0,2,0,DH
135,Jake McCarthy*,26,ARI,NL,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,0.285,0.349,0.4,0.749,109,0.335,107,177,4,14,5,3,1,OF
136,Ryan O'Hearn*,30,BAL,AL,1.9,142,494,443,60,117,21,3,15,59,3,1,46,69,0.264,0.334,0.427,0.761,122,0.337,125,189,7,2,0,3,2,1B
137,Jonah Heim#,29,TEX,AL,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,0.22,0.267,0.336,0.602,72,0.268,71,154,13,4,0,2,0,C
138,Michael Conforto*,31,SFG,NL,1.3,130,488,438,56,104,27,3,20,66,0,1,42,118,0.237,0.309,0.45,0.759,116,0.326,115,197,16,5,0,3,1,OF
139,Gavin Lux*,26,LAD,NL,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,0.251,0.32,0.383,0.703,101,0.314,103,168,8,2,0,2,0,2B
140,Connor Wong,28,BOS,AL,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110,0.327,107,190,7,9,1,2,1,C
141,Keibert Ruiz#,25,WSN,NL,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,0.229,0.26,0.359,0.619,74,0.27,70,165,13,5,0,5,0,C
142,José Caballero,27,TBR,AL,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,0.227,0.283,0.347,0.63,80,0.292,83,153,6,9,3,3,1,UTIL
143,Paul DeJong,30,2TM,AL,0.9,139,482,445,54,101,17,0,24,56,2,2,23,156,0.227,0.276,0.427,0.703,97,0.304,95,190,9,9,0,5,0,SS
144,Tommy Pham,36,3TM,2LG,-0.2,116,478,440,49,109,20,3,9,39,7,3,35,106,0.248,0.305,0.368,0.674,91,0.308,96,162,5,2,0,1,0,OF
145,Brandon Marsh*,26,PHI,NL,3.1,135,476,418,55,104,17,3,16,60,19,3,50,154,0.249,0.328,0.419,0.747,109,0.338,111,175,2,2,1,5,0,OF
146,Josh Rojas*,30,SEA,AL,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,0.225,0.304,0.336,0.641,91,0.289,92,142,6,3,1,2,1,3B
147,Mike Yastrzemski*,33,SFG,NL,2.1,140,474,428,60,99,16,9,18,57,3,2,38,124,0.231,0.302,0.437,0.739,110,0.317,108,187,5,6,1,1,1,OF
148,Tyler O'Neill,29,BOS,AL,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132,0.365,131,210,13,7,0,2,5,OF
149,Jeff McNeil*,32,NYM,NL,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,0.238,0.308,0.384,0.692,97,0.308,98,163,6,9,1,3,1,OF
150,Michael Harris II*,23,ATL,NL,3.2,110,470,440,58,116,14,3,16,48,10,6,23,94,0.264,0.304,0.418,0.722,99,0.32,102,184,6,4,0,3,1,OF
151,Ha-Seong Kim,28,SDP,NL,2.6,121,470,403,60,94,16,3,11,47,22,5,58,77,0.233,0.33,0.37,0.7,96,0.318,96,149,8,2,4,3,4,SS
152,Jorge Polanco#,30,SEA,AL,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,0.213,0.296,0.355,0.651,93,0.294,96,148,16,4,0,2,3,2B
153,Austin Riley,27,ATL,NL,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,0.256,0.322,0.461,0.783,115,0.343,117,196,6,5,0,2,0,3B
154,Ryan Jeffers,27,MIN,AL,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,103,0.322,103,178,9,14,1,6,0,C
